input,ans1,ans2,ans3
"Which country Eric Longlegs, Lord Of Langeland's father is from?",False,True,False
What is the place of birth of the director of film Northville Cemetery Massacre?,True,False,True
Which country the director of film Secrets Of A Door-To-Door Salesman is from?,True,True,True
Where did the director of film The Little Door Into The World die?,True,True,True
Where was the place of death of the director of film The Divine Nymph?,True,True,True
"Which film was released earlier, Battle For Brooklyn or Crime In The Streets?",True,True,True
Where did Agnes Of Meissen's mother die?,False,False,False
Which award the director of film Mithunam (2012 Film) received?,False,False,False
Did Kenneth Duberstein and Lee Mcgeorge Durrell share the same nationality?,False,False,False
"Are both museums, Halifax Historical Museum and William P. Didusch Center For Urologic History, located in the same country?",True,True,True
Are Kakwa River and Bighead River located in the same country?,False,False,False
"When is Henry Ii, Margrave Of The Nordmark's father's birthday?",False,False,False
When is the director of film Les Tuche 2 's birthday?,False,False,False
Do Thomas Wykes (Chronicler) and Robert Simpson (Meteorologist) have the same nationality?,True,True,True
"Who is younger, Vrindavan Lal Verma or Kerem İnan?",True,True,True
When was John Scott (Died 1533)'s father born?,False,False,False
"Which film has the director who was born first, Our Crazy Aunts or Dearest (2014 Film)?",True,True,True
What nationality is the director of film The Tower Of Lies?,True,True,True
"Which film has the director who was born first, Who'S Your Brother? or The Last Outpost (1951 Film)?",True,False,True
Where was the place of death of Halldóra Eldjárn's husband?,True,True,True
What is the date of death of Parimala Nagappa's husband?,False,False,False
Was Shahanuddin Choudhury or Domenico Distilo born first?,True,True,True
"What is the date of death of William Jolliffe, 4Th Baron Hylton's father?",False,False,False
Who is the father of the director of film Sources Of Life?,False,False,False
Are both The Bloom Of Yesterday and Fireworks (1954 Film) from the same country?,False,False,False
"Which film whose director is younger, Mr. Fix-It or People Not As Bad As They Seem?",True,True,True
What is the place of birth of the director of film Sweet Substitute (Film)?,True,True,False
"Which film came out earlier, Where Are You? I'M Here or Patnam Vachina Pativrathalu?",False,False,True
"Which film has the director born first, Stella'S Oorlog or Don Juan In A Girls' School?",True,False,False
"What is the date of birth of Magnus I, Duke Of Mecklenburg's mother?",True,True,True
Are both directors of films It'S Never Too Late (1956 Film) and The Slaughter Rule from the same country?,False,False,False
"Which film has the director died first, Mcguire Of The Mounted or The Man Unconquerable?",True,True,True
"Who is Charles James Irwin Grant, 6Th Baron De Longueuil's paternal grandfather?",True,True,True
"Which film has the director who is older than the other, Women'S Weapons or She Wants Me? ",False,False,False
"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",True,True,True
"Which film has the director who died first, The Flesh Is Weak or One Does Not Play With Love?",True,True,False
"Who was born first, Selahattin Seyhun or Nil Tun Maung?",True,True,True
"Which film has the director born earlier, Everyone Else or The Girl From The Chartreuse?",True,False,False
"Which film whose director is younger, College Lovers or The Dixie Flyer?",False,False,False
Are Yadboro River and Pigna Barney River both located in the same country?,True,True,True
What is the place of birth of the director of film Martian Child?,False,False,False
"Which film has the director who was born later, A Cafe In Cairo or War Drums?",True,True,True
"Who was born earlier, Helen Clifton or Steve Barancik?",True,True,True
Where did the director of film Cloudy Sunday study?,True,True,False
"Which film was released more recently, Hotel Reserve or Return To The Hiding Place?",True,True,True
"When did Leka, Crown Prince Of Albania (Born 1982)'s mother die?",True,True,True
Who is Carlo I Cybo-Malaspina's maternal grandfather?,False,False,False
"Which film was released first, The Pirate'S Dream or Prem Mhanje Prem Mhanje Prem Asta?",True,True,True
"Who lived longer, Fredy Schmidtke or Chou Meng-Tieh?",True,True,True
What is the place of birth of the composer of song Ma Che Freddo Fa?,False,False,False
"Which film was released earlier, Komaligal or Times Of Joy And Sorrow?",True,True,True
Where was the place of death of Salin Mibaya's husband?,False,False,False
What is the award that the composer of film Shivaay got?,False,False,False
"Which film has the director who was born earlier, Born Into Brothels or Dr. Goldfoot And The Bikini Machine?",True,True,True
What is the date of death of the director of film The Man Without A Country (1917 Film)?,False,False,False
Who is the mother-in-law of Queen Insun?,False,False,False
What is the place of birth of Princess Amalia Of Saxe-Weimar-Eisenach's husband?,False,False,False
"Which country Albertine, Baroness Staël Von Holstein's father is from?",False,False,False
"Who was born later, Faiz Muhammad or Guillermo Capetillo?",True,True,True
Are the directors of both films When Lovers Part and Ladies In Distress from the same country?,True,True,True
What nationality is the performer of song Mimi (Song)?,True,True,True
"Who lived longer, Werner Mensching or Karel Zich?",True,True,True
"Which film was released earlier, Nous, Princesses De Clèves or It'S A King?",True,True,True
What is the date of birth of Alfonso Fadrique's father?,False,True,True
Do both films A Trial In Prague and Three Strangers have the directors that share the same nationality?,True,False,True
"Who was born later, Kiplangat Sang or Stein Erik Hagen?",True,True,True
What is the place of birth of the director of film Confusion Na Wa?,False,False,False
Where was the wife of Alfred L. Copley born?,False,False,False
"Which film was released earlier, Pal Pal Dil Ke Paas or Another Earth?",True,True,True
Which country Jakobea Of Baden's mother is from?,False,False,False
Who is the child of the performer of song La Voix (Song)?,False,False,False
Where was the father of Francesco I Acciaioli born?,False,False,False
Where does the director of film Scarecrow (1984 Film) work at?,False,False,False
Where did Elisabeth Zu Fürstenberg's husband die?,False,False,False
What is the place of birth of the performer of song El Beso (Song)?,False,False,False
What is the place of birth of the director of film Special When Lit?,False,False,False
Who is the uncle of John Of Brienne?,False,False,False
"Which film has the director who died earlier, Deuces Wild or Cavalcade Of The West?",True,True,False
"Which film has the director died later, The Rebellion Of The Brides or Arizona Gang Busters?",True,True,True
"What nationality is Henry Clifford, 2Nd Earl Of Cumberland's wife?",False,False,False
Are director of film Tactical Force and director of film Jumanji from the same country?,False,False,True
Where was the place of death of Thaddeus P. Mott's father?,False,False,False
"Who was born later, Paul De Scherff or Lyudmyla Olyanovska?",True,True,True
Do both films: A Slave Of Vanity and Grace Of My Heart have the directors from the same country?,False,False,False
Where was the father of Bonne Of Bourbon born?,False,False,False
"Which film came out first, Su-Ki-Da or Tales From The Golden Age?",True,True,True
"Which film has the director who was born later, Dead Man'S Letters or The Dance Of Death (1967 Film)?",True,False,True
Who is the father of the performer of song Everybody Needs A Best Friend?,False,False,False
Where did Elizabeth Brooke (1503–1560)'s husband study at?,False,False,False
"Which film has the director born first, Viva Knievel! or Maria Marten, Or The Murder In The Red Barn?",True,True,True
Who is the father-in-law of Chiang Fang-Liang?,False,True,False
"What is the date of death of Andrew, Duke Of Slavonia's father?",False,False,False
"Who is Charles Gordon, 2Nd Earl Of Aboyne's paternal grandmother?",False,True,False
"Which film came out earlier, Hell And Mr. Fudge or Yes Or No??",True,True,True
Do director of film Father'S Day (1996 Film) and director of film The Pursuit Of Happiness (1971 Film) have the same nationality?,False,False,False
"Which country John Ii, Duke Of Lorraine's father is from?",False,True,False
"Are both movies, Don'T Bet On Blondes and The Empress And I, from the same country?",True,True,True
"Which film has the director who died earlier, Lassie Come Home or Prairie Thunder?",True,True,False
"Which film has the director who died earlier, Everything'S Ducky or Karthika (Film)?",True,False,False
"Who was born first, Jörn Lenz or Alejandro Romualdo?",True,True,True
"Which film has the director who was born first, Throw Momma From The Train or Dona Mariquita Of My Heart?",True,True,True
"Who is the paternal grandfather of Amadeus Viii, Duke Of Savoy?",False,False,False
Who is the mother-in-law of Maria Caroline Gibert De Lametz?,False,False,False
Where did the director of film Crd (Film) study?,False,False,False
"What is the date of death of George Feilding, 1St Earl Of Desmond's father?",False,False,False
Where was the director of film The Messenger (2009 Film) born?,False,False,False
Where was the place of death of Amaury De Montfort (Died 1241)'s father?,False,False,False
Where was the father of R. Whidden Ganong born?,True,True,True
"Which film was released more recently, Morchha or The Thing About My Folks?",True,True,True
Who is Rameshwari Nehru's father-in-law?,False,False,False
"Which film has the director who is older, See Naples And Die or Season Of Strangers?",True,True,True
Who is the paternal grandmother of Archduchess Dolores Of Austria?,False,False,False
What is the place of birth of Mi Saw U's father?,False,False,False
Where did Francis W. Rockwell's father study?,True,True,True
"Are the movies Amy (2015 Film) and Manhattan Angel, from the same country?",False,False,True
What nationality is the director of film The Shark (1920 Film)?,False,False,False
Where was the place of death of Helena (Empress)'s husband?,True,False,True
"Which film has the director who was born later, Borsalino & Co. or Köpekler Adası?",True,True,True
What nationality is the director of film Muvva Gopaludu?,True,False,False
Where did the director of film Temptation (1959 Film) die?,False,False,False
"Which film has the director who was born first, Hanuman Patal Vijay or Young And Dangerous: The Prequel?",True,True,True
Who is Coirpre Mac Fogartaig's paternal grandfather?,False,False,False
"Where did Elisabeth Of Hesse, Electress Palatine's mother die?",False,False,False
"Who was born first, Brodie Croft or Saad Abdulrahman?",True,True,True
"Where did Joanna, Duchess Of Durazzo's mother die?",False,False,False
Where was the performer of song Get A Life – Get Alive born?,False,False,False
"Which film has the director born earlier, Pieces Of A Woman or Oriental Nights?",True,True,True
"Who is the paternal grandfather of Thomas Beaufort, Count Of Perche?",True,False,True
Where did Martha Bulloch Roosevelt's husband die?,False,False,False
Who is the maternal grandfather of Prince Christian Of Hesse?,False,False,False
"Are the bands Knuckle Puck and Aqua (Band), from the same country?",True,True,True
"Who was born earlier, Marco Bortolami or Yan Yan Chan?",True,True,True
What nationality is the composer of song Inescapable (Song)?,False,True,True
"Which film has the director who died earlier, You'Re Missing The Point or La Figliastra?",False,True,True
Who is Konrad Iii The Old's paternal grandfather?,True,False,False
"Which film has the director who was born later, Maneater Of Hydra or The Fighting Seabees?",True,True,True
Who is the paternal grandfather of Nia Segamain?,False,False,False
Where does Philip Goodhart's father work at?,False,False,False
"Who was born later, Jean Daninos or Lincoln Kilpatrick Jr.?",True,True,True
Which country Chu Lingyuan's husband is from?,False,False,False
Which country Eugenia Livanos's husband is from?,True,True,False
"Who is Sancha Of Castile, Queen Of Aragon's paternal grandmother?",True,True,True
Where did the director of film Defilada graduate from?,False,False,False
"Which film has the director born first, The Ugly Ones or Practical Jokers?",False,True,True
"Which film has the director who is older, Cry Of The Hunted or Salvage With A Smile?",True,True,True
"Which film was released more recently, Singapore Dreaming or Gray Lady Down?",True,True,True
"Who lived longer, Motu Hafoka or Wilhelm Meise?",True,True,True
Who is the paternal grandmother of Seleucus V Philometor?,False,False,False
"Which film has the director who is older than the other, Ebar Shabor or Circle Of Deception? ",True,True,True
"Are the movies Je Suis Né D'Une Cigogne and La Chair De L'Orchidée, from the same country?",False,False,False
"Which film has the director who died later, Searchlight On Japan or Beauties Of The Night?",True,False,False
Who is Sirikitiya Jensen's maternal grandmother?,False,False,False
"Who is Hermann, Prince Of Hohenlohe-Langenburg's paternal grandfather?",False,False,False
